Company_Code,Networth Next Year,Capital Employed,Net Working Capital ,Current Assets ,Total Sales,Retained Earnings,PBDT,PBIT,PBT,PBT_as_%_of_total_income,PAT,CP,Book Value (Adj.) (Unit Curr),EPS (Annualised) (Adjusted) (Unit Curr),APATM (%)[Latest],Creditors Velocity (Days),Total Liabilities,Total Equity,Market Value of Equity,total assets,Cost of Production,Current Ratio,Gross Block 
6079,2.65,7.04,6.52,10.54,1.89,0,0.11,0.09,0.03,0,0.01,0.09,4.77,0.03,2,1114,4.53,5.26,0,9.79,1.38,1.26,0.62
6278,2.65,5.56,3.51,5.85,10.16,0.12,0.39,0.24,0.02,0.166666667,0.02,0.39,4.72,0.03,0.5,102,2.93,5.57,1.39,8.5,9.61,1.41,8.21
13391,2.66,3.99,2.15,2.51,1.37,0.01,0.09,0.08,0.08,8,0.05,0.06,0.74,0.02,1.65,24,1.38,3.52,35.12,4.9,1.13,1.66,0.01
67980,2.66,3.02,1.77,1.89,0.15,0,0,0,0,0,0,0,10.02,0.01,77.78,0,3,3,0,3,0.01,0.16,0
6246,2.67,4.72,0.18,0.2,0.15,0,0.1,0.1,0.1,0,0.09,0.09,4.59,0.15,-75,0,2,5.9,0,7.9,0,0.05,0.01
2996,2.68,207.3,57.63,85.2,225.54,6.83,-25.48,-21.23,-43.75,-6.40556369,-33.58,-15.31,5.09,0,-13.21,28,173.83,33.23,9.25,207.06,241.17,1.02,166.88
24561,2.68,8.08,8.08,9.77,4.15,0,0.69,0.92,0.69,0,0.51,0.51,19.4,4.75,18.02,51,6,1.07,0,7.07,3.96,1.31,0
14608,2.7,13.86,13.7,13.8,2.85,0,-0.8,-0.8,-0.8,0,-0.8,-0.8,0.94,0,-73.24,0,1.71,12.97,1.69,14.68,2.67,26.57,0.14
71402,2.71,2.7,2.71,2.71,0.66,0.2,0,0,0,0,0,0,26.49,0.02,1.26,47,1,0.09,0,0.09,0.82,1.82,0
6858,2.72,2.68,0.68,0.71,0.23,0,0.07,0.07,0.07,0,0.05,0.05,12.63,0.22,17.39,0,3,2.12,0,2.12,0.12,37.35,0.03
7890,2.76,3.4,0.13,0.23,1.41,0.01,0.16,0.11,0.11,11,0.11,0.16,7.62,0.3,4.38,0,0.76,3.47,0,4.23,0.52,3.65,2
1587,2.78,3.45,0.4,0.43,1.48,0,0.27,0.32,0.27,0,0.15,0.15,19.26,1.01,7.32,0,0.68,1.44,0,2.12,0.92,23,0
1670,2.79,13.86,9.25,11.01,3.63,5.59,3.72,3.35,3.33,0.595706619,2.61,3,2.97,4.28,-2.52,6,0.1,6.1,11.77,6.2,4.94,6.95,24.14
